18:23:13.566804 IP6 fe80::2cf4:ffff:feae:f6c5.5353 > ff02::fb.5353: 0 [2q] [2n] ANY (QM)? 5.c.6.f.e.a.e.f.f.f.f.f.4.f.c.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa. ANY (QM)? sam-VirtualBox.local. (158)
18:23:13.817022 IP6 fe80::2cf4:ffff:feae:f6c5.5353 > ff02::fb.5353: 0 [2q] [2n] ANY (QM)? 5.c.6.f.e.a.e.f.f.f.f.f.4.f.c.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa. ANY (QM)? sam-VirtualBox.local. (158)
18:23:13.947677 IP6 fe80::2cf4:ffff:feae:f6c5 > ff02::16: HBH ICMP6, multicast listener report v2, 2 group record(s), length 48
18:23:14.021412 IP6 fe80::2cf4:ffff:feae:f6c5.5353 > ff02::fb.5353: 0*- [0q] 2/0/0 (Cache flush) PTR sam-VirtualBox.local., (Cache flush) AAAA fe80::2cf4:ffff:feae:f6c5 (146)
18:23:14.155124 IP6 fe80::2cf4:ffff:feae:f6c5.5353 > ff02::fb.5353: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)
18:23:15.232350 IP6 fe80::2cf4:ffff:feae:f6c5.5353 > ff02::fb.5353: 0*- [0q] 2/0/0 (Cache flush) PTR sam-VirtualBox.local., (Cache flush) AAAA fe80::2cf4:ffff:feae:f6c5 (146)
18:23:15.308538 IP6 fe80::9808:49ff:fe96:74fb.5353 > ff02::fb.5353: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)
18:23:15.459659 IP6 fe80::e4ab:acff:fed0:d9c5.5353 > ff02::fb.5353: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)
18:23:15.472252 IP6 fe80::6076:91ff:fe8e:c879.5353 > ff02::fb.5353: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)
18:23:15.479571 IP6 fe80::f0df:4ff:fe77:c9c8.5353 > ff02::fb.5353: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)
18:23:15.592564 IP6 fe80::5c87:b2ff:fe73:661f.5353 > ff02::fb.5353: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)
18:23:15.672381 IP6 fe80::ac6c:5bff:fe41:8cdb > ff02::2: ICMP6, router solicitation, length 16
18:23:15.722820 IP6 fe80::4819:5dff:fe94:552d.5353 > ff02::fb.5353: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)
18:23:15.742173 IP6 fe80::783f:83ff:feeb:5f7c > ff02::2: ICMP6, router solicitation, length 16
18:23:15.764798 IP6 fe80::6457:a2ff:fef1:bd25.5353 > ff02::fb.5353: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)
18:23:15.782545 IP6 fe80::a47a:68ff:fe80:b4d1 > ff02::2: ICMP6, router solicitation, length 16
18:23:15.802786 IP6 fe80::4c6b:3fff:fe43:2d97 > ff02::2: ICMP6, router solicitation, length 16
18:23:15.822790 IP6 fe80::7c7a:feff:fefe:16c4 > ff02::2: ICMP6, router solicitation, length 16
18:23:15.840766 IP6 fe80::c46d:dbff:fe72:c67c.5353 > ff02::fb.5353: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)
18:23:15.905195 IP6 fe80::8c63:62ff:fecc:1993 > ff02::2: ICMP6, router solicitation, length 16
18:23:15.946538 IP6 fe80::783f:83ff:feeb:5f7c.5353 > ff02::fb.5353: 0*- [0q] 2/0/0 (Cache flush) PTR sam-VirtualBox.local., (Cache flush) AAAA fe80::783f:83ff:feeb:5f7c (146)
18:23:16.045478 IP6 fe80::4c6b:3fff:fe43:2d97.5353 > ff02::fb.5353: 0*- [0q] 2/0/0 (Cache flush) PTR sam-VirtualBox.local., (Cache flush) AAAA fe80::4c6b:3fff:fe43:2d97 (146)
18:23:16.164371 IP6 fe80::2cf4:ffff:feae:f6c5.5353 > ff02::fb.5353: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)
18:23:16.172097 IP6 fe80::f0df:4ff:fe77:c9c8 > ff02::2: ICMP6, router solicitation, length 16
18:23:16.192344 IP6 fe80::e4f7:eff:feb9:3d6c > ff02::2: ICMP6, router solicitation, length 16
18:23:16.252966 IP6 fe80::8c63:62ff:fecc:1993.5353 > ff02::fb.5353: 0*- [0q] 2/0/0 (Cache flush) PTR sam-VirtualBox.local., (Cache flush) AAAA fe80::8c63:62ff:fecc:1993 (146)
18:23:16.272446 IP6 fe80::ac6c:5bff:fe41:8cdb.5353 > ff02::fb.5353: 0*- [0q] 2/0/0 (Cache flush) PTR sam-VirtualBox.local., (Cache flush) AAAA fe80::ac6c:5bff:fe41:8cdb (146)
18:23:16.297505 IP6 fe80::e4f7:eff:feb9:3d6c.5353 > ff02::fb.5353: 0*- [0q] 2/0/0 (Cache flush) PTR sam-VirtualBox.local., (Cache flush) AAAA fe80::e4f7:eff:feb9:3d6c (146)
18:23:16.393083 IP6 fe80::6076:91ff:fe8e:c879 > ff02::2: ICMP6, router solicitation, length 16
18:23:16.422639 IP6 fe80::5c87:b2ff:fe73:661f > ff02::2: ICMP6, router solicitation, length 16
18:23:16.466420 IP6 fe80::9808:49ff:fe96:74fb > ff02::2: ICMP6, router solicitation, length 16
18:23:16.599809 ARP, Request who-has 10.0.0.7 tell 10.0.0.1, length 28
18:23:16.601111 ARP, Reply 10.0.0.7 is-at ba:19:8a:ce:2c:67, length 28
18:23:16.605565 IP6 fe80::9808:49ff:fe96:74fb.5353 > ff02::fb.5353: 0*- [0q] 2/0/0 (Cache flush) PTR sam-VirtualBox.local., (Cache flush) AAAA fe80::9808:49ff:fe96:74fb (146)
18:23:16.712398 IP6 fe80::6457:a2ff:fef1:bd25 > ff02::2: ICMP6, router solicitation, length 16
18:23:16.739115 IP6 fe80::6c66:b4ff:fe68:92ab > ff02::2: ICMP6, router solicitation, length 16
18:23:16.762900 IP6 fe80::6076:91ff:fe8e:c879.5353 > ff02::fb.5353: 0*- [0q] 2/0/0 (Cache flush) PTR sam-VirtualBox.local., (Cache flush) AAAA fe80::6076:91ff:fe8e:c879 (146)
18:23:16.780513 IP6 fe80::c486:4bff:fea7:c725 > ff02::2: ICMP6, router solicitation, length 16
18:23:16.802152 IP6 fe80::f0df:4ff:fe77:c9c8.5353 > ff02::fb.5353: 0*- [0q] 2/0/0 (Cache flush) PTR sam-VirtualBox.local., (Cache flush) AAAA fe80::f0df:4ff:fe77:c9c8 (146)
18:23:16.821748 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.824001 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.824633 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.825677 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.827168 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.827323 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.828383 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.829271 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.830622 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.830623 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.832292 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.832496 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.833583 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.834134 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.836733 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.836734 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.838917 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.838918 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.841127 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.842464 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.842983 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.844719 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.844870 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.846414 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.846415 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.848153 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.848154 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.850762 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.850763 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.852323 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.852404 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.853820 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.855283 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.857057 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.857058 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.858228 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.859832 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.859833 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.862134 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.864765 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.864886 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.867855 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.867855 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.871077 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.871078 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.872463 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.872674 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.873874 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.874772 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.875253 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.876084 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
18:23:16.877278 IP 10.0.0.1.50720 > 10.0.0.7.5566: UDP, length 1470
