PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=1 ttl=64 time=1319 ms
64 bytes from 10.0.0.7: icmp_seq=2 ttl=64 time=313 ms
64 bytes from 10.0.0.7: icmp_seq=3 ttl=64 time=46.3 ms
64 bytes from 10.0.0.7: icmp_seq=4 ttl=64 time=49.3 ms
64 bytes from 10.0.0.7: icmp_seq=6 ttl=64 time=21.2 ms
64 bytes from 10.0.0.7: icmp_seq=7 ttl=64 time=21.9 ms
64 bytes from 10.0.0.7: icmp_seq=8 ttl=64 time=22.2 ms
64 bytes from 10.0.0.7: icmp_seq=9 ttl=64 time=21.5 ms
64 bytes from 10.0.0.7: icmp_seq=10 ttl=64 time=21.9 ms
64 bytes from 10.0.0.7: icmp_seq=11 ttl=64 time=20.8 ms
64 bytes from 10.0.0.7: icmp_seq=12 ttl=64 time=21.5 ms
64 bytes from 10.0.0.7: icmp_seq=13 ttl=64 time=21.3 ms
64 bytes from 10.0.0.7: icmp_seq=14 ttl=64 time=21.5 ms
64 bytes from 10.0.0.7: icmp_seq=15 ttl=64 time=22.4 ms
64 bytes from 10.0.0.7: icmp_seq=16 ttl=64 time=21.9 ms
64 bytes from 10.0.0.7: icmp_seq=17 ttl=64 time=21.2 ms
64 bytes from 10.0.0.7: icmp_seq=18 ttl=64 time=21.1 ms
64 bytes from 10.0.0.7: icmp_seq=21 ttl=64 time=21.3 ms
64 bytes from 10.0.0.7: icmp_seq=22 ttl=64 time=20.6 ms
64 bytes from 10.0.0.7: icmp_seq=23 ttl=64 time=21.3 ms
64 bytes from 10.0.0.7: icmp_seq=24 ttl=64 time=21.8 ms
64 bytes from 10.0.0.7: icmp_seq=27 ttl=64 time=21.6 ms
64 bytes from 10.0.0.7: icmp_seq=28 ttl=64 time=20.9 ms
64 bytes from 10.0.0.7: icmp_seq=30 ttl=64 time=22.9 ms
64 bytes from 10.0.0.7: icmp_seq=31 ttl=64 time=52.9 ms
64 bytes from 10.0.0.7: icmp_seq=32 ttl=64 time=21.3 ms
64 bytes from 10.0.0.7: icmp_seq=33 ttl=64 time=54.3 ms
64 bytes from 10.0.0.7: icmp_seq=34 ttl=64 time=20.5 ms
64 bytes from 10.0.0.7: icmp_seq=35 ttl=64 time=21.6 ms
64 bytes from 10.0.0.7: icmp_seq=36 ttl=64 time=21.8 ms
64 bytes from 10.0.0.7: icmp_seq=37 ttl=64 time=22.1 ms
64 bytes from 10.0.0.7: icmp_seq=38 ttl=64 time=21.8 ms
64 bytes from 10.0.0.7: icmp_seq=40 ttl=64 time=21.2 ms
64 bytes from 10.0.0.7: icmp_seq=41 ttl=64 time=21.1 ms
64 bytes from 10.0.0.7: icmp_seq=42 ttl=64 time=21.4 ms
64 bytes from 10.0.0.7: icmp_seq=43 ttl=64 time=20.7 ms
64 bytes from 10.0.0.7: icmp_seq=44 ttl=64 time=21.7 ms
64 bytes from 10.0.0.7: icmp_seq=45 ttl=64 time=21.1 ms
64 bytes from 10.0.0.7: icmp_seq=46 ttl=64 time=22.0 ms
64 bytes from 10.0.0.7: icmp_seq=48 ttl=64 time=21.3 ms
64 bytes from 10.0.0.7: icmp_seq=50 ttl=64 time=21.1 ms
64 bytes from 10.0.0.7: icmp_seq=51 ttl=64 time=20.2 ms
64 bytes from 10.0.0.7: icmp_seq=52 ttl=64 time=21.3 ms
64 bytes from 10.0.0.7: icmp_seq=53 ttl=64 time=20.6 ms
64 bytes from 10.0.0.7: icmp_seq=54 ttl=64 time=20.6 ms
64 bytes from 10.0.0.7: icmp_seq=56 ttl=64 time=20.8 ms
64 bytes from 10.0.0.7: icmp_seq=57 ttl=64 time=21.0 ms
64 bytes from 10.0.0.7: icmp_seq=58 ttl=64 time=21.5 ms
64 bytes from 10.0.0.7: icmp_seq=59 ttl=64 time=21.6 ms
64 bytes from 10.0.0.7: icmp_seq=62 ttl=64 time=20.7 ms
64 bytes from 10.0.0.7: icmp_seq=64 ttl=64 time=21.7 ms
64 bytes from 10.0.0.7: icmp_seq=67 ttl=64 time=21.5 ms
64 bytes from 10.0.0.7: icmp_seq=69 ttl=64 time=21.0 ms
64 bytes from 10.0.0.7: icmp_seq=70 ttl=64 time=22.0 ms
64 bytes from 10.0.0.7: icmp_seq=71 ttl=64 time=20.1 ms
64 bytes from 10.0.0.7: icmp_seq=72 ttl=64 time=19.8 ms
64 bytes from 10.0.0.7: icmp_seq=74 ttl=64 time=21.3 ms
64 bytes from 10.0.0.7: icmp_seq=75 ttl=64 time=21.8 ms
64 bytes from 10.0.0.7: icmp_seq=76 ttl=64 time=20.9 ms
64 bytes from 10.0.0.7: icmp_seq=78 ttl=64 time=22.3 ms
64 bytes from 10.0.0.7: icmp_seq=80 ttl=64 time=21.8 ms
64 bytes from 10.0.0.7: icmp_seq=82 ttl=64 time=21.8 ms
64 bytes from 10.0.0.7: icmp_seq=83 ttl=64 time=21.1 ms
64 bytes from 10.0.0.7: icmp_seq=85 ttl=64 time=21.6 ms
64 bytes from 10.0.0.7: icmp_seq=89 ttl=64 time=31.1 ms

--- 10.0.0.7 ping statistics ---
90 packets transmitted, 65 received, 27% packet loss, time 89530ms
rtt min/avg/max/mdev = 19.834/47.834/1319.950/163.139 ms, pipe 2
